timestamp,temperature_c,humidity_pct,wind_kph,condition
2020-01-01T00:00:00,18.9,49.7,15.4,Clear
2020-01-01T01:00:00,14.2,55.9,11.3,Clear
2020-01-01T02:00:00,13.5,62.0,16.3,Clear
2020-01-01T03:00:00,13.1,61.6,14.3,Clear
2020-01-01T04:00:00,9.4,77.1,6.9,Clear
2020-01-01T05:00:00,11.8,71.6,14.2,Clear
2020-01-01T06:00:00,13.2,63.7,12.0,Clear
2020-01-01T07:00:00,11.6,65.8,15.4,Clear
2020-01-01T08:00:00,14.5,54.5,15.0,Clear
2020-01-01T09:00:00,15.6,45.9,12.3,Clear
2020-01-01T10:00:00,19.5,45.3,14.7,Clear
2020-01-01T11:00:00,20.1,46.6,12.5,Clear
2020-01-01T12:00:00,23.8,44.4,23.8,Clear
2020-01-01T13:00:00,26.1,33.9,17.4,Clear
2020-01-01T14:00:00,25.6,29.3,20.7,Clear
2020-01-01T15:00:00,29.1,20.1,22.0,Clear
2020-01-01T16:00:00,28.3,27.8,15.7,Clear
2020-01-01T17:00:00,30.2,21.7,25.9,Clear
2020-01-01T18:00:00,27.6,22.6,19.6,Clear
2020-01-01T19:00:00,28.7,21.7,17.5,Clear
2020-01-01T20:00:00,22.2,34.2,18.1,Clear
2020-01-01T21:00:00,27.1,32.3,17.6,Clear
2020-01-01T22:00:00,22.5,34.2,14.8,Clear
2020-01-01T23:00:00,20.0,42.2,11.5,Clear
2020-01-02T00:00:00,19.4,47.7,13.9,Clear
2020-01-02T01:00:00,16.7,46.5,10.4,Clear
2020-01-02T02:00:00,15.1,63.6,14.1,Clear
2020-01-02T03:00:00,13.5,54.3,13.2,Clear
2020-01-02T04:00:00,12.5,64.0,18.5,Clear
2020-01-02T05:00:00,13.0,64.9,8.9,Clear
2020-01-02T06:00:00,10.5,58.3,11.9,Clear
2020-01-02T07:00:00,13.1,67.7,14.4,Clear
2020-01-02T08:00:00,13.4,61.5,13.2,Clear
2020-01-02T09:00:00,16.0,48.7,15.4,Clear
