incident_id,timestamp,type,location_name,latitude,longitude,description,severity,source,status
cd86bec8-a6d0-44c6-887f-216b1af3eee9,2025-11-14T05:25:50.003535,Vehicle Breakdown,Sama Savli Crossroad,22.349715418969065,73.19920920956963,Stalled vehicle blocking one lane at Sama Savli Crossroad.,Moderate,CCTV Analysis,Resolved
7b31054d-08b4-4657-a6fd-89d5a0014502,2026-01-01T13:02:04.003535,Vehicle Breakdown,Susen Tarsali Ring Road,22.25449797671197,73.21559583451563,Stalled vehicle blocking one lane at Susen Tarsali Ring Road.,Minor,CCTV Analysis,Resolved
3acb1f8a-e17f-42b9-bc8e-f67514f17041,2025-12-30T22:18:30.003535,Heavy Traffic,Susen Tarsali Ring Road,22.25597151922997,73.21508000063326,Heavy Traffic reported at Susen Tarsali Ring Road.,Minor,User Report (Waze-style),Resolved
bf061e15-d187-4264-a479-ab4d4b1ba068,2025-11-04T08:35:03.003535,Vehicle Breakdown,Susen Tarsali Ring Road,22.25423049381802,73.21401851241751,Stalled vehicle blocking one lane at Susen Tarsali Ring Road.,Minor,Traffic Police Feed,Resolved
dd0162b8-7cc1-45e8-b770-04352952ccae,2025-11-13T22:14:56.003535,Water Logging,Gotri Crossroad,22.32448462769931,73.1446685667969,Water accumulation at Gotri Crossroad due to rain.,moderate,Twitter,Resolved
fb6cf55c-48c0-4832-9875-d5f55523c4f1,2025-11-24T07:21:02.003535,Construction Work,Amitnagar Circle,22.335737897370038,73.1945901105535,Construction Work reported at Amitnagar Circle.,Minor,CCTV Analysis,Resolved
d4cdd184-424d-4f84-a7b6-9cad5bde4755,2025-12-01T04:34:39.003535,VIP Movement,Mandvi Gate,22.295280116073364,73.2083085068331,Traffic diversion at Mandvi Gate for VIP convoy.,Major,CCTV Analysis,Resolved
7f288a1a-3d22-4885-9392-1072e942e12f,2025-12-06T16:30:29.003535,Traffic Signal Failure,Sama Savli Crossroad,22.349557268564688,73.19980461440637,Traffic Signal Failure reported at Sama Savli Crossroad.,Major,CCTV Analysis,Resolved
c8e98482-2821-4a90-a307-dd74262b4f6d,2025-11-24T16:57:38.003535,Accident,Golden Chowkdi,22.3458046755261,73.23476490077432,Collision reported near Golden Chowkdi. EXPECT DELAYS.,Critical,Twitter,Resolved
7eb510f5-9013-4ca0-b349-fbe7903b37fa,2026-01-21T22:47:41.003535,Heavy Traffic,Mandvi Gate,22.296018185933942,73.20877425262,Heavy Traffic reported at Mandvi Gate.,Major,User Report (Waze-style),Resolved
f588b494-a221-4f27-836b-2b9a1ce9cbf6,2025-12-06T08:26:01.003535,Vehicle Breakdown,Genda Circle,22.321010453203993,73.16757830583232,Stalled vehicle blocking one lane at Genda Circle.,Moderate,User Report (Waze-style),Resolved
a5f748a0-df68-432f-a967-da3fe5097f28,2025-12-20T22:53:56.003535,Road Closure,Amitnagar Circle,22.335729730237937,73.19460577590263,Road Closure reported at Amitnagar Circle.,Critical,User Report (Waze-style),Resolved
c380b73b-f901-4495-ba86-00fe75070f2f,2026-01-11T14:41:19.003535,VIP Movement,Akshar Chowk,22.287754822718615,73.17212422823894,Traffic diversion at Akshar Chowk for VIP convoy.,Major,CCTV Analysis,Resolved
25795727-b64b-494d-97aa-a3f88f065e77,2025-12-31T06:31:30.003535,Heavy Traffic,Kalaghoda Circle,22.30963936071783,73.18022699205261,Heavy Traffic reported at Kalaghoda Circle.,Major,CCTV Analysis,Resolved
5b23808f-18e8-4c47-9361-828f31da3342,2025-12-27T11:48:03.003535,Accident,Fatehgunj Circle,22.326380373836916,73.19287220134194,Collision reported near Fatehgunj Circle. EXPECT DELAYS.,Critical,Twitter,Resolved
