timestamp,date,condition,rainfall_mm,PM2.5,PM10,NO2,SO2,AQI,Category
2020-01-01 00:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 01:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 02:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 03:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 04:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 05:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 06:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 07:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 08:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 09:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 10:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 11:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 12:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 13:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 14:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 15:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 16:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 17:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 18:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 19:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 20:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 21:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 22:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-01 23:00:00,2020-01-01,Clear,0.0,57.04,125.48,47.88,2.58,142,Moderate
2020-01-02 00:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 01:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 02:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 03:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 04:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 05:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 06:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 07:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 08:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 09:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 10:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 11:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 12:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 13:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 14:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 15:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 16:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 17:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 18:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 19:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 20:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 21:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 22:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-02 23:00:00,2020-01-02,Clear,0.0,62.23,149.51,56.86,2.51,155,Moderate
2020-01-03 00:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 01:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 02:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 03:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 04:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 05:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 06:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 07:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 08:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 09:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 10:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 11:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 12:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 13:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 14:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 15:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 16:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 17:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 18:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 19:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 20:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 21:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 22:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-03 23:00:00,2020-01-03,Clear,0.0,102.84,228.27,45.97,5.88,257,Poor
2020-01-04 00:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 01:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 02:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 03:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 04:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 05:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 06:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 07:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 08:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 09:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 10:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 11:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 12:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 13:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 14:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 15:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
2020-01-04 16:00:00,2020-01-04,Clear,0.0,73.36,141.48,30.5,6.16,183,Moderate
